vae,band,step,offset,raw_sign0,adj_acc
FLUX.1-dev,L2_LH,24,-0.015387,0.988,0.996
FLUX.1-dev,L2_LH,25,-0.015964,0.99,0.996
FLUX.1-dev,L2_LH,26,-0.016024,0.988,0.996
FLUX.1-dev,L2_LH,27,-0.015313,0.988,0.995
FLUX.1-dev,L2_LH,28,-0.01466,0.986,0.996
FLUX.1-dev,L2_LH,29,-0.01422,0.982,0.996
FLUX.1-dev,L2_LH,30,-0.014512,0.982,0.996
SDXL,L2_LH,2,-0.029395,0.771,0.793
SDXL,L2_LH,3,-0.007748,0.91,0.914
SDXL,L2_LH,4,0.008657,0.953,0.955
SDXL,L2_LH,5,0.019468,0.962,0.971
SDXL,L2_LH,6,0.024152,0.967,0.976
SDXL,L2_LH,7,0.029046,0.967,0.976
SDXL,L2_LH,8,0.033962,0.966,0.978
SDXL,L2_LH,9,0.038063,0.964,0.982
SDXL,L2_LH,10,0.040386,0.961,0.985
SDXL,L2_LH,11,0.04612,0.955,0.989
SDXL,L2_LH,12,0.04645,0.942,0.99
SDXL,L2_LH,13,0.047192,0.922,0.991
SDXL,L2_LH,14,0.038144,0.91,0.995
SDXL,L2_LH,15,0.035358,0.892,0.997
SDXL,L2_LH,16,0.03505,0.873,0.997
SDXL,L2_LH,17,0.034225,0.861,0.997
SDXL,L2_LH,18,0.032686,0.849,0.997
SDXL,L2_LH,19,0.029208,0.843,0.998
SDXL,L2_LH,20,0.028752,0.836,0.998
SDXL,L2_LH,21,0.027894,0.84,0.998
SDXL,L2_LH,22,0.026156,0.838,0.998
SDXL,L2_LH,23,0.025451,0.838,0.997
SDXL,L2_LH,24,0.024652,0.842,0.998
SDXL,L2_LH,25,0.023851,0.848,0.998
SDXL,L2_LH,26,0.022172,0.86,0.997
SDXL,L2_LH,27,0.019556,0.871,0.995
SDXL,L2_LH,28,0.016916,0.88,0.997
SDXL,L2_LH,29,0.015882,0.889,0.997
SDXL,L2_LH,30,0.015486,0.899,0.997
SDXL GenImage,L2_LH,2,0.012762,0.889,0.883
SDXL GenImage,L2_LH,3,0.026803,0.945,0.952
SDXL GenImage,L2_LH,4,0.03451,0.96,0.969
SDXL GenImage,L2_LH,5,0.037414,0.967,0.976
SDXL GenImage,L2_LH,6,0.041947,0.971,0.979
SDXL GenImage,L2_LH,7,0.047349,0.968,0.986
SDXL GenImage,L2_LH,8,0.051136,0.968,0.987
SDXL GenImage,L2_LH,9,0.051539,0.967,0.987
SDXL GenImage,L2_LH,10,0.053012,0.965,0.987
SDXL GenImage,L2_LH,11,0.049269,0.957,0.992
SDXL GenImage,L2_LH,12,0.047524,0.944,0.994
SDXL GenImage,L2_LH,13,0.052544,0.924,0.996
SDXL GenImage,L2_LH,14,0.043837,0.911,0.998
SDXL GenImage,L2_LH,15,0.041368,0.885,0.998
SDXL GenImage,L2_LH,16,0.040379,0.867,0.998
SDXL GenImage,L2_LH,17,0.039603,0.855,0.998
SDXL GenImage,L2_LH,18,0.041504,0.847,0.998
SDXL GenImage,L2_LH,19,0.039115,0.841,0.998
SDXL GenImage,L2_LH,20,0.036166,0.832,1.0
SDXL GenImage,L2_LH,21,0.033947,0.834,1.0
SDXL GenImage,L2_LH,22,0.032307,0.835,1.0
SDXL GenImage,L2_LH,23,0.030596,0.841,1.0
SDXL GenImage,L2_LH,24,0.027439,0.84,0.999
SDXL GenImage,L2_LH,25,0.023858,0.846,0.999
SDXL GenImage,L2_LH,26,0.021585,0.856,0.999
SDXL GenImage,L2_LH,27,0.020482,0.865,0.998
SDXL GenImage,L2_LH,28,0.018831,0.873,0.998
SDXL GenImage,L2_LH,29,0.017453,0.885,0.997
SDXL GenImage,L2_LH,30,0.016551,0.892,0.998
Wan2.2,L2_LH,2,-0.368463,0.6486,0.9371
Wan2.2,L2_LH,3,-0.267147,0.7686,0.9714
